,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
191,0.3794148763020833,0.08855522194560339,0.026676495869954426,0.00593074367164722,0.01,50,100,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
131,0.5507216453552246,0.18738722463426163,0.044761975606282554,0.025570388345142515,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
137,0.6289904117584229,0.19615783549141197,0.0761408805847168,0.03726767202507952,0.001,20,100,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
175,0.13533457120259604,0.06963560642503605,0.014796972274780273,0.0020140365687749172,0.01,10,10,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
176,0.20769548416137695,0.1155403903755861,0.03630852699279785,0.01947358312668809,0.01,10,20,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
177,0.30081971486409503,0.12449844530039883,0.028125921885172527,0.011273691584888107,0.01,10,40,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
178,0.5387022495269775,0.2066840967983873,0.051894187927246094,0.03478137160198465,0.01,10,70,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
179,0.33714977900187176,0.007366777008967535,0.026643832524617512,0.0059858006228206435,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
181,0.1395853360493978,0.07436343704749632,0.03681429227193197,0.024643453295553275,0.01,20,10,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
143,0.5196906725565592,0.26811824359453496,0.05124847094217936,0.027319190128597584,0.001,50,100,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
190,0.3796854019165039,0.09409739025729491,0.025847911834716797,0.003976683481774529,0.01,50,70,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
183,0.384674072265625,0.06943376458503389,0.06490683555603027,0.029030092500746816,0.01,20,40,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
184,0.4185819625854492,0.19698219077055282,0.029979705810546875,0.0029555368409062916,0.01,20,70,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
185,0.7639423211415609,0.2945967831143441,0.036265055338541664,0.004526802775976544,0.01,20,100,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
188,0.18772967656453451,0.09197637049609483,0.04268829027811686,0.02739352132366513,0.01,50,20,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
187,0.13093185424804688,0.04827388157645428,0.015290498733520508,0.0009386997774501113,0.01,50,10,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
189,0.17453885078430176,0.005769303922870259,0.025011459986368816,0.006411712307772591,0.01,50,40,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
182,0.16399168968200684,0.0643723620357932,0.020268996556599934,0.0026155746655785817,0.01,20,20,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
136,0.3409104347229004,0.09602680958513282,0.02360391616821289,0.006926918594806814,0.001,20,70,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
142,0.4024617671966553,0.21706418809327865,0.026954809824625652,0.005105118190894395,0.001,50,70,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
130,0.5856351852416992,0.13307067926761007,0.038090785344441734,0.028479918052810298,0.001,10,70,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
