,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
38,1.8832964897155762,0.02733022978044218,0.1466082731882731,0.006361874473349581,50,30,0.001,0.1,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.1}",0.819327731092437,0.7763713080168776,0.8396624472573839,0.8117871621222328,0.026382913812871316,1,0.8459915611814346,0.8021052631578948,0.8315789473684211,0.8265585905692502,0.018264807241358545
2,1.5909862518310547,0.15609431994505246,0.16059192021687826,0.01808937360600842,50,20,0.0001,0.1,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.1}",0.8109243697478992,0.8059071729957806,0.8016877637130801,0.8061731021522532,0.0037755142252687886,2,0.8396624472573839,0.8463157894736842,0.8252631578947368,0.8370804648752683,0.008786478204828531
34,1.876823902130127,0.03126121208073499,0.14794309933980307,0.004982058178391044,50,30,0.0001,0.1,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.1}",0.8025210084033614,0.7932489451476793,0.810126582278481,0.8019655119431738,0.006901453519257844,3,0.8481012658227848,0.8273684210526315,0.8231578947368421,0.8328758605374195,0.010902350130184816
64,4.2036519050598145,0.657970731338043,0.3215935230255127,0.05361910972350699,50,50,0.0001,0.001,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.001}",0.8151260504201681,0.7890295358649789,0.8016877637130801,0.8019477833327424,0.010655443855427658,4,0.8122362869198312,0.8231578947368421,0.8231578947368421,0.8195173587978385,0.00514849529924561
130,3.1963613033294678,0.5204548482550128,0.3442220687866211,0.12286559520711017,100,30,0.0001,0.1,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.1}",0.7899159663865546,0.8143459915611815,0.7932489451476793,0.7991703010318051,0.010816757805617467,5,0.8417721518987342,0.8442105263157895,0.8315789473684211,0.8391872085276483,0.005471175732856164
66,4.5654371579488116,0.2924132942100245,0.3910983403523763,0.07129623478442146,50,50,0.0001,0.1,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.1}",0.7857142857142857,0.8059071729957806,0.8016877637130801,0.7977697408077155,0.008696794497821656,6,0.8565400843881856,0.8568421052631578,0.8252631578947368,0.8462151158486934,0.014815784617101323
6,1.442012071609497,0.009681016889028657,0.15226356188456217,0.005232045477074984,50,20,0.001,0.1,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.1}",0.8067226890756303,0.7974683544303798,0.7890295358649789,0.797740193123663,0.007225756700409536,7,0.8333333333333334,0.8336842105263158,0.8105263157894737,0.8258479532163743,0.010834980657795082
266,3.167380174001058,0.3352637734212966,0.23396698633829752,0.005823716296511233,150,50,0.01,0.1,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.1}",0.8025210084033614,0.7805907172995781,0.8059071729957806,0.7963396328995733,0.011221639351228788,8,0.7953586497890295,0.7768421052631579,0.8063157894736842,0.7928388481752906,0.012163786838122088
10,1.4972608089447021,0.03467359309242861,0.15260076522827148,0.012792346033375588,50,20,0.01,0.1,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.1}",0.8109243697478992,0.8016877637130801,0.7763713080168776,0.7963278138259523,0.014606512607768227,9,0.8080168776371308,0.8168421052631579,0.7789473684210526,0.8012687837737804,0.016189612887579977
68,4.1980288823445635,0.5939769480629047,0.3074130217234294,0.0644799115479743,50,50,0.001,0.001,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.001}",0.819327731092437,0.7805907172995781,0.7890295358649789,0.7963159947523314,0.016632466678855186,10,0.8248945147679325,0.8147368421052632,0.8147368421052632,0.8181227329928197,0.004788372813897791
