,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
191,0.18782869974772134,0.004177745206560478,0.013630946477254232,0.0004709207873617227,0.01,50,100,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
131,0.29554255803426105,0.011115371596226397,0.02792509396870931,0.007768062797850309,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
137,0.20511698722839355,0.0020483146459504826,0.01695537567138672,0.0021556390952580137,0.001,20,100,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
175,0.0967416763305664,0.017102831540843858,0.01396020253499349,0.007053472237577411,0.01,10,10,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
176,0.07147598266601562,0.002052799417523971,0.01163482666015625,0.002615668235119327,0.01,10,20,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
177,0.14262119928995767,0.04458460645430096,0.027590274810791016,0.018607458538203177,0.01,10,40,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
178,0.2556483745574951,0.07109751270557417,0.035903612772623696,0.016040187273667916,0.01,10,70,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
179,0.31981364885965985,0.07481051005241171,0.02659161885579427,0.013634281294111168,0.01,10,100,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
181,0.06682443618774414,0.018496146026955367,0.011302312215169271,0.0018857658328376293,0.01,20,10,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
143,0.26761412620544434,0.04095979685000689,0.016954898834228516,0.002154351309792525,0.001,50,100,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
190,0.1888274351755778,0.012780953059324649,0.013962586720784506,0.0008139067262188723,0.01,50,70,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
183,0.13331500689188638,0.03555976124724388,0.013623237609863281,0.0012529279171883416,0.01,20,40,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
184,0.21541802088419595,0.05515761895829914,0.013964335123697916,0.0008166328432364203,0.01,20,70,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 70}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
185,0.2586425145467122,0.06445600528069388,0.01628851890563965,0.005299343593108128,0.01,20,100,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
188,0.0794534683227539,0.01233197181507743,0.018631776173909504,0.008701413944161178,0.01,50,20,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
187,0.062401930491129555,0.005361648891536104,0.02061152458190918,0.014345134642046625,0.01,50,10,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 10}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
189,0.12798062960306802,0.028677708580904553,0.012968063354492188,0.0016247965121860227,0.01,50,40,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 40}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
182,0.07147606213887532,0.002351063764733479,0.011635144551595053,0.00047294640015012465,0.01,20,20,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 20}",1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9990768520655435,0.9996922840218478,0.00043517610966168285
136,0.18284066518147787,0.034032285442153726,0.01629010836283366,0.0036714254573746515,0.001,20,70,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
142,0.23669958114624023,0.012987466873967355,0.03789877891540527,0.01733150370945289,0.001,50,70,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
130,0.18483837445576987,0.04357913578851871,0.0156250794728597,0.0016949833087219934,0.001,10,70,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 70}",1.0,0.9995383194829178,0.9995383194829178,0.9996922129886118,0.0002176382829136783,19,1.0,0.9986152780983153,0.9976921301638587,0.9987691360873914,0.0009484443423292668
173,0.24468318621317545,0.07879415205160602,0.01595282554626465,8.288832583448043e-06,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.9935394554683895,0.9949215143120961,0.9953831948291783,0.9946147215365547,0.0007833411615099972,22,0.9944598337950139,0.9951534733441034,0.9949226863604893,0.9948453311665356,0.0002884115410762846
172,0.1748662789662679,0.0435824330157259,0.016954739888509113,0.0035499031428101,0.01,5,70,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 70}",0.9907706506691278,0.9949215143120961,0.9953831948291783,0.9936917866034675,0.0020741365408494957,23,0.9930747922437673,0.9951534733441034,0.9949226863604893,0.9943836506494533,0.0009302861217757058
171,0.13397638003031412,0.029249799802555633,0.021274725596110027,0.013872619810919648,0.01,5,40,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 40}",0.9907706506691278,0.9930747922437673,0.9926131117266851,0.9921528515465267,0.0009953715132468618,24,0.9930747922437673,0.9935379644588045,0.9921532425571198,0.9929219997532305,0.0005755419736356588
170,0.06449381510416667,0.0036697930521771382,0.010636727015177408,0.0004726664749706005,0.01,5,20,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 20}",0.9833871712044301,0.9930747922437673,0.9926131117266851,0.9896916917249609,0.0044619518502039815,25,0.9868421052631579,0.9935379644588045,0.9921532425571198,0.9908444374263606,0.0028859846089572695
169,0.06283140182495117,0.009177142800356202,0.03158338864644369,0.015543730114804638,0.01,5,10,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10}",0.9907706506691278,0.9930747922437673,0.9806094182825484,0.9881516203984813,0.005415464071661247,26,0.9930747922437673,0.9935379644588045,0.9829217632125549,0.9898448399717088,0.004899005068041837
125,0.204785426457723,0.035768932778882205,0.015292167663574219,0.0004701903326584075,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",0.9907706506691278,0.9930747922437673,0.9806094182825484,0.9881516203984813,0.005415464071661247,26,0.9930747922437673,0.9935379644588045,0.9829217632125549,0.9898448399717088,0.004899005068041837
167,0.29920172691345215,0.010007940488483932,0.028586784998575848,0.01580074338906788,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.9875403784033225,0.9926131117266851,0.9792243767313019,0.9864592889537699,0.005519125654944519,28,0.9884579870729455,0.9928456035079621,0.9799215324255712,0.9870750410021597,0.005366085364689349
166,0.15990471839904785,0.031120038199107226,0.01994665463765462,0.010005857277282164,0.01,4,70,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 70}",0.9921550530687586,0.9815327793167128,0.9792243767313019,0.984304069705591,0.005630904927311576,29,0.9930747922437673,0.9787675975075005,0.9799215324255712,0.9839213073922797,0.006489612476545131
180,0.10272733370463054,0.010648436691063218,0.010306437810262045,0.0004709798898299755,0.01,20,5,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
186,0.0910940170288086,0.015419945895860751,0.008638779322306315,0.00046780120415848255,0.01,50,5,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
174,0.055852254231770836,0.013408339592518033,0.021277507146199543,0.015325106477605762,0.01,10,5,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
165,0.0957504113515218,0.001414167662341944,0.01295908292134603,0.002151005640815302,0.01,4,40,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 40}",0.9783110290724504,0.9815327793167128,0.9792243767313019,0.979689395040155,0.0013557532174103277,33,0.9803785780240074,0.9787675975075005,0.9799215324255712,0.9796892359856931,0.0006778818889876742
164,0.08410827318827312,0.024662932431844788,0.010969241460164389,0.0014119756745903955,0.01,4,20,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 20}",0.9783110290724504,0.9778393351800554,0.9792243767313019,0.9784582469946025,0.000574943395545422,34,0.9803785780240074,0.9778444495730441,0.9799215324255712,0.979381520007541,0.0011027728113610392
124,0.20877393086751303,0.01031015280684136,0.019290606180826824,0.006830599348528104,0.001,5,70,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 70}",0.9741578218735579,0.9778393351800554,0.9806094182825484,0.9775355251120539,0.002642599663738861,35,0.9785318559556787,0.9741518578352181,0.9829217632125549,0.9785351590011505,0.003580299639643052
