,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_kernel,param_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3,5.748063755035401,0.29767419396169204,0.6351145267486572,0.0788184834354894,0.01,0.0001,50,150,"{'learning_rate': 0.01, 'kernel': 0.0001, 'epochs': 50, 'batch_size': 150}",0.8041958041958042,0.8391608391608392,0.795774647887324,0.8450704225352113,0.8169014084507042,0.8202206244459764,0.019191988053876168,1,0.859402460456942,0.8347978910369068,0.868421052631579,0.843859649122807,0.8543859649122807,0.852173403632103,0.011765778682196321
27,6.215884447097778,0.7210590130034665,1.1834115028381347,0.3690634855385511,0.01,0.01,30,100,"{'learning_rate': 0.01, 'kernel': 0.01, 'epochs': 30, 'batch_size': 100}",0.7902097902097902,0.8391608391608392,0.7746478873239436,0.7816901408450704,0.795774647887324,0.7962966610853935,0.022612740195846023,2,0.8066783831282952,0.804920913884007,0.8263157894736842,0.7824561403508772,0.787719298245614,0.8016181050164957,0.015536076068503518
19,8.073349905014037,0.6187495318377927,0.8794724464416503,0.20418782081308498,0.001,0.001,30,50,"{'learning_rate': 0.001, 'kernel': 0.001, 'epochs': 30, 'batch_size': 50}",0.7692307692307693,0.8251748251748252,0.7676056338028169,0.7887323943661971,0.7676056338028169,0.7836698512754852,0.02223914322649419,3,0.8066783831282952,0.8066783831282952,0.8052631578947368,0.7929824561403509,0.7807017543859649,0.7984608269355287,0.01026377484584769
7,6.892599105834961,0.7170436464377499,0.7983095645904541,0.19201754780515953,0.001,0.01,30,50,"{'learning_rate': 0.001, 'kernel': 0.01, 'epochs': 30, 'batch_size': 50}",0.7272727272727273,0.7692307692307693,0.7183098591549296,0.7253521126760564,0.7605633802816901,0.7401457697232345,0.020611601191460837,4,0.7574692442882249,0.7346221441124781,0.7614035087719299,0.7543859649122807,0.7263157894736842,0.7468393303117196,0.013802444901687416
4,5.324469327926636,0.22739858104553604,0.7154463291168213,0.21074956706384734,0.001,0.0001,20,50,"{'learning_rate': 0.001, 'kernel': 0.0001, 'epochs': 20, 'batch_size': 50}",0.7272727272727273,0.7622377622377622,0.7112676056338029,0.704225352112676,0.7535211267605634,0.7317049148035064,0.02280638566140674,5,0.7451669595782073,0.7328646748681898,0.7421052631578947,0.7473684210526316,0.7315789473684211,0.739816853205069,0.006435565421525558
17,4.793867349624634,0.42149267244411587,0.7021676540374756,0.11426799155282659,0.001,0.01,20,100,"{'learning_rate': 0.001, 'kernel': 0.01, 'epochs': 20, 'batch_size': 100}",0.6363636363636364,0.6713286713286714,0.647887323943662,0.6338028169014085,0.676056338028169,0.6530877573131095,0.01754386673246723,6,0.6660808435852372,0.655536028119508,0.6543859649122807,0.6684210526315789,0.6473684210526316,0.6583584620602473,0.007815609684641019
22,7.632530736923218,0.49664944875573075,0.874263858795166,0.19785720916386842,0.0001,0.01,50,50,"{'learning_rate': 0.0001, 'kernel': 0.01, 'epochs': 50, 'batch_size': 50}",0.6223776223776224,0.6293706293706294,0.6408450704225352,0.6338028169014085,0.6197183098591549,0.6292228897862702,0.007658555576524323,7,0.6344463971880492,0.6239015817223199,0.6263157894736842,0.631578947368421,0.6298245614035087,0.6292134554311966,0.0037407259280910323
15,7.737600660324096,0.4675973183408446,0.8187530517578125,0.23882519186343684,0.0001,0.0001,50,50,"{'learning_rate': 0.0001, 'kernel': 0.0001, 'epochs': 50, 'batch_size': 50}",0.6153846153846154,0.6363636363636364,0.6338028169014085,0.6267605633802817,0.6338028169014085,0.6292228897862701,0.0076223699226322834,8,0.6379613356766256,0.632688927943761,0.6333333333333333,0.6368421052631579,0.631578947368421,0.6344809299170597,0.0024754040062233027
28,6.67162938117981,0.6701716092955845,0.8274816513061524,0.15194855853748326,0.001,0.1,20,100,"{'learning_rate': 0.001, 'kernel': 0.1, 'epochs': 20, 'batch_size': 100}",0.6153846153846154,0.6223776223776224,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6193834334679406,0.0022490949238557294,9,0.6221441124780316,0.6203866432337434,0.6210526315789474,0.6210526315789474,0.6192982456140351,0.620786852896741,0.0009337611689631874
1,8.789192008972169,0.8443960274721616,0.8615251541137695,0.07039646770297839,0.001,1,50,50,"{'learning_rate': 0.001, 'kernel': 1, 'epochs': 50, 'batch_size': 50}",0.6153846153846154,0.6153846153846154,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6179848320693392,0.00212306803274811,10,0.6186291739894552,0.6186291739894552,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6179779853852558,0.0005316932688679026
5,5.162659215927124,0.3415485611674543,0.8264402389526367,0.1087214058649373,0.01,1,30,100,"{'learning_rate': 0.01, 'kernel': 1, 'epochs': 30, 'batch_size': 100}",0.6153846153846154,0.6153846153846154,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6179848320693392,0.00212306803274811,10,0.6186291739894552,0.6186291739894552,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6179779853852558,0.0005316932688679026
14,4.827871084213257,0.08544732848646033,0.6663156509399414,0.06633616152003456,1e-05,0.1,20,150,"{'learning_rate': 1e-05, 'kernel': 0.1, 'epochs': 20, 'batch_size': 150}",0.3146853146853147,0.32867132867132864,0.352112676056338,0.3380281690140845,0.3380281690140845,0.33430513148823005,0.012341050246576895,12,0.3391915641476274,0.335676625659051,0.3298245614035088,0.3333333333333333,0.3333333333333333,0.33427188357537074,0.0030892388987805363
20,6.021587181091308,0.9534781143689616,0.607040548324585,0.08745623749337093,1e-05,0.01,20,150,"{'learning_rate': 1e-05, 'kernel': 0.01, 'epochs': 20, 'batch_size': 150}",0.3146853146853147,0.32167832167832167,0.352112676056338,0.3380281690140845,0.3380281690140845,0.33290653008962867,0.013262154940866147,13,0.3391915641476274,0.335676625659051,0.3298245614035088,0.3333333333333333,0.33157894736842103,0.3339210063823883,0.0032702427953835455
29,6.265391683578491,0.4372737312335067,0.5662811756134033,0.2970396246837066,1e-05,1,50,150,"{'learning_rate': 1e-05, 'kernel': 1, 'epochs': 50, 'batch_size': 150}",0.3146853146853147,0.32167832167832167,0.352112676056338,0.3380281690140845,0.3380281690140845,0.33290653008962867,0.013262154940866147,13,0.3374340949033392,0.335676625659051,0.3280701754385965,0.33157894736842103,0.33157894736842103,0.33286775814756575,0.0033190370399404923
9,4.694642829895019,0.30902703395740816,0.5647221565246582,0.07399309690260611,1e-05,0.001,20,150,"{'learning_rate': 1e-05, 'kernel': 0.001, 'epochs': 20, 'batch_size': 150}",0.3146853146853147,0.32167832167832167,0.352112676056338,0.3380281690140845,0.3380281690140845,0.33290653008962867,0.013262154940866147,13,0.3391915641476274,0.335676625659051,0.3280701754385965,0.3333333333333333,0.33157894736842103,0.3335701291894058,0.003749886050238277
13,5.307094669342041,0.27914685229158215,0.7500051498413086,0.10770898965015631,1e-05,0.1,20,100,"{'learning_rate': 1e-05, 'kernel': 0.1, 'epochs': 20, 'batch_size': 100}",0.3146853146853147,0.32167832167832167,0.352112676056338,0.3380281690140845,0.3380281690140845,0.33290653008962867,0.013262154940866147,13,0.3374340949033392,0.335676625659051,0.3280701754385965,0.33157894736842103,0.33157894736842103,0.33286775814756575,0.0033190370399404923
