,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_optimizer,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,10.986931324005127,0.6569324022418801,0.7956440448760986,0.0680250973484611,5,10,random_uniform,adam,4,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.8628472222222222,0.6510416666666666,0.5868055555555556,0.7002314814814815,0.11793919010847527,1,0.6189236111111112,0.7248263888888888,0.7569444444444444,0.7002314814814815,0.0589695950542376
27,2.9958510398864746,0.1587461555842797,0.21511236826578775,0.0034919856672739886,10,10,random_uniform,adam,4,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.8628472222222222,0.6510416666666666,0.5868055555555556,0.7002314814814815,0.11793919010847527,1,0.6189236111111112,0.7248263888888888,0.7569444444444444,0.7002314814814815,0.0589695950542376
30,3.111628214518229,0.35134593931923996,0.22622855504353842,0.008712794691122653,10,10,random_uniform,rmsprop,4,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.8576388888888888,0.6510416666666666,0.5868055555555556,0.6984953703703702,0.11554671236491407,3,0.6067708333333334,0.7248263888888888,0.7569444444444444,0.6961805555555557,0.06456761930492526
33,3.3069912592569985,0.408258769488889,0.24228429794311523,0.022208689825119737,10,10,random_uniform,SGD,4,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.8385416666666666,0.6510416666666666,0.5868055555555556,0.6921296296296297,0.10679866707866965,4,0.6059027777777778,0.7248263888888888,0.7569444444444444,0.6958912037037036,0.06496835113415776
31,2.8559180895487466,0.037360294254227246,0.2066312630971273,0.005355323479746341,10,10,random_uniform,rmsprop,8,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.7743055555555556,0.6510416666666666,0.5868055555555556,0.6707175925925926,0.07780068142710103,5,0.5954861111111112,0.7248263888888888,0.7569444444444444,0.6924189814814815,0.06978480441971446
34,2.9759061336517334,0.09352390073420193,0.20218706130981445,0.012965710227409277,10,10,random_uniform,SGD,8,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.7708333333333334,0.6510416666666666,0.5850694444444444,0.6689814814814815,0.07689140966529034,6,0.5963541666666666,0.7248263888888888,0.7569444444444444,0.6927083333333334,0.0693829299308712
28,3.5550101598103843,0.4035110858558249,0.2147363821665446,0.013366164768298763,10,10,random_uniform,adam,8,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.7673611111111112,0.6510416666666666,0.5868055555555556,0.6684027777777777,0.07472676135875772,7,0.6006944444444444,0.7248263888888888,0.7569444444444444,0.6941550925925926,0.06737488126085467
32,2.8593664169311523,0.05464261162931838,0.21809999148050943,0.018826402471956744,10,10,random_uniform,rmsprop,13,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.75,0.6510416666666666,0.5850694444444444,0.662037037037037,0.06778001507894131,8,0.5911458333333334,0.7248263888888888,0.7595486111111112,0.6918402777777778,0.07259906581352052
35,2.689748764038086,0.09429918541659332,0.198149045308431,0.016732334168811046,10,10,random_uniform,SGD,13,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.7447916666666666,0.6527777777777778,0.5833333333333334,0.6603009259259259,0.06612940177782083,9,0.5963541666666666,0.6909722222222222,0.7569444444444444,0.681423611111111,0.06590746700134154
42,5.004283269246419,0.5282501590534612,0.21212299664815268,0.012806535250899462,10,20,random_uniform,SGD,4,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.7447916666666666,0.6510416666666666,0.5850694444444444,0.6603009259259259,0.06553420216153734,9,0.5989583333333334,0.7248263888888888,0.7604166666666666,0.6947337962962963,0.06926457222083189
6,8.162123123804728,2.762001597967223,0.49295902252197266,0.017560773017875727,5,10,random_uniform,SGD,4,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.7395833333333334,0.6510416666666666,0.5868055555555556,0.6591435185185185,0.06263381593703213,11,0.5980902777777778,0.7248263888888888,0.7569444444444444,0.6932870370370369,0.06857944105569082
3,5.957929372787476,0.1366611756870951,0.38119928042093915,0.015379994025509368,5,10,random_uniform,rmsprop,4,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.7395833333333334,0.6510416666666666,0.5868055555555556,0.6591435185185185,0.06263381593703213,11,0.609375,0.7248263888888888,0.7569444444444444,0.697048611111111,0.06336607366256382
39,4.611683368682861,0.1370391918990809,0.21459174156188965,0.027809523692058667,10,20,random_uniform,rmsprop,4,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.734375,0.6510416666666666,0.5868055555555556,0.6574074074074073,0.060412897214608276,13,0.5998263888888888,0.7248263888888888,0.7569444444444444,0.6938657407407408,0.0677763092616918
29,2.8760050932566323,0.049348050317532234,0.20638958613077799,0.0011534604834935423,10,10,random_uniform,adam,13,"{'batch_size': 10, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.734375,0.6510416666666666,0.5833333333333334,0.65625,0.06177238498144859,14,0.5989583333333334,0.7248263888888888,0.7569444444444444,0.693576388888889,0.06817782973471205
36,5.520711342493693,0.4316131977021748,0.2342716852823893,0.031817400374305624,10,20,random_uniform,adam,4,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.7118055555555556,0.6510416666666666,0.5868055555555556,0.6498842592592593,0.05103759851932717,15,0.5989583333333334,0.6935763888888888,0.7569444444444444,0.6831597222222223,0.06491678280350628
7,7.297531445821126,1.6931917256064284,0.4051009813944499,0.04011996399323745,5,10,random_uniform,SGD,8,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.7118055555555556,0.6510416666666666,0.5798611111111112,0.6475694444444445,0.053922019931926635,16,0.6015625,0.6927083333333334,0.7569444444444444,0.6837384259259259,0.06375072074890448
1,6.029953479766846,0.37162835916047415,0.3940565586090088,0.0022049257583328942,5,10,random_uniform,adam,8,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.71875,0.6527777777777778,0.5625,0.6446759259259259,0.0640455339456339,17,0.6119791666666666,0.6927083333333334,0.7664930555555556,0.6903935185185185,0.06310126380462938
4,5.714852492014567,0.13308511757099836,0.3927594820658366,0.011230999605380794,5,10,random_uniform,rmsprop,8,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.7065972222222222,0.6545138888888888,0.5625,0.6412037037037037,0.05957557181310734,18,0.6015625,0.6927083333333334,0.7725694444444444,0.6889467592592592,0.06986394321199067
12,11.639049927393595,2.1641548948275715,0.50823442141215,0.14235388428689572,5,20,random_uniform,rmsprop,4,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.6805555555555556,0.65625,0.5625,0.6331018518518519,0.0508996144150371,19,0.6128472222222222,0.6909722222222222,0.7682291666666666,0.6906828703703703,0.06343474315233848
37,4.788094679514567,0.4560935416591076,0.18493151664733887,0.005746686811933056,10,20,random_uniform,adam,8,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.6805555555555556,0.6510416666666666,0.5625,0.6313657407407408,0.050163965122151245,20,0.5998263888888888,0.6909722222222222,0.7786458333333334,0.6898148148148149,0.07300731982381396
16,10.599517583847046,1.3454431918488972,0.4301877021789551,0.1275326976879907,5,20,random_uniform,SGD,8,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 8}",0.6961805555555556,0.6527777777777778,0.5451388888888888,0.6313657407407408,0.06349410872890861,20,0.5902777777777778,0.6909722222222222,0.8038194444444444,0.6950231481481483,0.08722506654755251
5,5.7514463265736895,0.13304123215904318,0.3925613562266032,0.005541778128832779,5,10,random_uniform,rmsprop,13,"{'batch_size': 5, 'epochs': 10, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.7013888888888888,0.6510416666666666,0.5381944444444444,0.6302083333333333,0.06823306875563122,22,0.6241319444444444,0.6909722222222222,0.8107638888888888,0.7086226851851851,0.07720761967527877
9,8.577443917592367,0.7071775711736759,0.3171737988789876,0.036763899768912894,5,20,random_uniform,adam,4,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.6961805555555556,0.6510416666666666,0.5399305555555556,0.6290509259259259,0.0656567342763094,23,0.6102430555555556,0.7248263888888888,0.7994791666666666,0.7115162037037037,0.07782650452282579
15,23.173894723256428,2.1329450471330498,0.69805375734965,0.2443789550126957,5,20,random_uniform,SGD,4,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.6857638888888888,0.6527777777777778,0.5364583333333334,0.625,0.06404030467157366,24,0.6128472222222222,0.6927083333333334,0.8107638888888888,0.7054398148148149,0.08129911726312936
