,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
382,0.8250798225402832,0.15294039469381962,0.050620746612548825,0.011945994871584207,20,20,150,"{'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
423,1.6414605617523192,0.15800700785532082,0.1088167667388916,0.022225092166820906,50,5,200,"{'max_depth': 50, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,0.09665021896362305,0.030556731139633714,0.007283306121826172,0.0013199891496709002,3,20,20,"{'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
378,0.08992042541503906,0.02606855933875049,0.01168670654296875,0.009928579304479265,20,20,20,"{'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
422,0.7854640007019043,0.11624730440763996,0.05573287010192871,0.022828093225575642,50,5,150,"{'max_depth': 50, 'min_samples_split': 5, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
266,0.08822431564331054,0.0230073868695187,0.007180070877075196,0.0019369995533391909,5,20,20,"{'max_depth': 5, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
103,1.007061767578125,0.2635093212856507,0.04466266632080078,0.01296891172850755,2,20,200,"{'max_depth': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
270,0.9107044219970704,0.20016414831377055,0.04646158218383789,0.02329945114903713,5,20,150,"{'max_depth': 5, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
322,0.1024942398071289,0.0358411937906493,0.009976577758789063,0.006599280755762328,10,20,20,"{'max_depth': 10, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
310,0.763361644744873,0.17723123752759545,0.03999738693237305,0.00935671883597196,10,5,150,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
215,1.373800230026245,0.25033701664545005,0.0766861915588379,0.03172342716945015,4,20,200,"{'max_depth': 4, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
311,0.9282375812530518,0.2764703190525223,0.04913911819458008,0.011646123356523675,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
367,0.9129987239837647,0.25212383062965554,0.056371450424194336,0.023646633802233072,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
414,1.0267931461334228,0.1475460875411595,0.05574016571044922,0.020471886061696965,50,4,150,"{'max_depth': 50, 'min_samples_split': 4, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
366,0.875092887878418,0.16582003306830068,0.045513057708740236,0.014193307007236849,20,5,150,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
383,0.8041810035705567,0.21132357909246718,0.041061925888061526,0.008045616006417792,20,20,200,"{'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
254,0.940355634689331,0.13675984288391876,0.048125076293945315,0.014042052795321006,5,5,150,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
271,1.1665391445159912,0.35659501833144086,0.06141219139099121,0.014838290089939839,5,20,200,"{'max_depth': 5, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
342,0.9590563774108887,0.10659620352765195,0.055591583251953125,0.024225615606894988,20,2,150,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
327,0.8782888889312744,0.2630078140821843,0.04820528030395508,0.016410958944865637,10,20,200,"{'max_depth': 10, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
439,0.914525032043457,0.13057757165305267,0.04302139282226562,0.011251202863484973,50,20,200,"{'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
438,0.8306214809417725,0.18138281060407066,0.039905118942260745,0.00548935114923134,50,20,150,"{'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
246,1.1001759052276612,0.216971666812195,0.05649161338806152,0.02510314628777485,5,4,150,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
286,1.0122015953063965,0.23074963922531347,0.056260299682617185,0.046387587929628285,10,2,150,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
398,0.7891425609588623,0.17639184131663252,0.040625,0.015111873038297812,50,2,150,"{'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
230,1.07684268951416,0.2408426971213229,0.061540412902832034,0.019099256053512013,5,2,150,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
210,0.17855873107910156,0.06933746266390235,0.013759994506835937,0.006476644593049313,4,20,20,"{'max_depth': 4, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
255,1.2301555633544923,0.21756941964563598,0.05433268547058105,0.014690739082255015,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
434,0.13947553634643556,0.047914256828968355,0.02374691963195801,0.019357205734858992,50,20,20,"{'max_depth': 50, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
326,0.655565595626831,0.18915419924416413,0.03559122085571289,0.010596659028924912,10,20,150,"{'max_depth': 10, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
358,0.7426257610321045,0.172182471367174,0.04154238700866699,0.0151016518687158,20,4,150,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
159,0.8096689224243164,0.20632584811901036,0.04021234512329101,0.0091582091678602,3,20,200,"{'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 200}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
302,0.7795328140258789,0.18336690161448457,0.04860000610351563,0.024662202175285534,10,4,150,"{'max_depth': 10, 'min_samples_split': 4, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
214,1.0417398452758788,0.1991896971472469,0.05835170745849609,0.024989543375764874,4,20,150,"{'max_depth': 4, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,1.0,1.0,1.0,0.990909090909091,0.018181818181818167,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
118,0.8884466171264649,0.1692411523760427,0.03789620399475098,0.009945621003405711,3,2,150,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
116,0.352553129196167,0.05354509975025537,0.018165206909179686,0.0036483977888354443,3,2,70,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
114,0.13829975128173827,0.01972647442169981,0.022136592864990236,0.022581838596146937,3,2,20,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
117,0.5835147857666015,0.11378596276875269,0.03576369285583496,0.014566204961639653,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
379,0.18618879318237305,0.0527349964024847,0.022135400772094728,0.013851310137252727,20,20,40,"{'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 40}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
364,0.34823880195617674,0.09263378484168819,0.02655787467956543,0.012938767772398128,20,5,70,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
316,0.335087251663208,0.10567551105004228,0.01498112678527832,0.0011125024227013206,10,10,70,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
372,0.3876223087310791,0.10727802462798955,0.023005580902099608,0.00910970516202781,20,10,70,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
359,1.011193323135376,0.25020048777406917,0.05292377471923828,0.014932935090469175,20,4,200,"{'max_depth': 20, 'min_samples_split': 4, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
102,0.5772892475128174,0.08256165594872299,0.02763023376464844,0.0010776436180870788,2,20,150,"{'max_depth': 2, 'min_samples_split': 20, 'n_estimators': 150}",0.9545454545454546,1.0,0.9523809523809523,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,1.0,0.9976470588235294,0.00470588235294116
100,0.31839613914489745,0.09198455370638423,0.01899685859680176,0.006983474390774849,2,20,70,"{'max_depth': 2, 'min_samples_split': 20, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,1.0,0.9882352941176471,0.9952941176470589,0.005763505277136869
98,0.08455281257629395,0.02298986961065044,0.011803531646728515,0.004661781972330035,2,20,20,"{'max_depth': 2, 'min_samples_split': 20, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,0.9882352941176471,0.9764705882352941,0.9882352941176471,0.9905882352941177,0.008803899733585748
374,0.7108378887176514,0.18484753896883171,0.03622117042541504,0.013089721066247572,20,10,150,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
375,1.0115780353546142,0.24629505354035838,0.05087933540344238,0.014975686506742612,20,10,200,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,0.8138862133026123,0.15149424560812705,0.0527534008026123,0.017327391280555104,2,10,200,"{'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9545454545454546,1.0,0.9523809523809523,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,0.8231733798980713,0.16487716277604786,0.043884992599487305,0.015142078003553744,2,10,150,"{'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 150}",0.9545454545454546,1.0,0.9523809523809523,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,0.30615806579589844,0.08758991669944212,0.020359897613525392,0.007645295709744597,2,10,70,"{'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
228,0.40505380630493165,0.08666984849860802,0.031355857849121094,0.012371737859390584,5,2,70,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,0.07799749374389649,0.009640289160985456,0.007982206344604493,0.002093954495911018,2,10,20,"{'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,0.9764705882352941,1.0,0.9952941176470589,0.009411764705882364
318,0.7445962429046631,0.18104366162320765,0.03841619491577149,0.01747396819485222,10,10,150,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
122,0.11680092811584472,0.021039071076168984,0.019901752471923828,0.009724774354239858,3,3,20,"{'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 20}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
132,0.5745506763458252,0.05749006905702096,0.04429817199707031,0.036381353372721185,3,4,70,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 70}",0.9545454545454546,0.9523809523809523,1.0,1.0,1.0,0.9813852813852814,0.022808553891462326,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
